Model_Name,Product_Line,Segment,CPU_Vendor,CPU_Model,CPU_Generation,GPU_Type,GPU_Name,GPU_VRAM_GB,RAM_GB,Storage_GB,Screen_Size_Inches,Screen_Panel_Type,Screen_Refresh_Rate_Hz,Screen_Touch,Battery_Whr,Price_VND
Latitude 5035,Latitude,Business/Ultrabook,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,15.6,Standard,60,No,60,27400000
G15 1306,G Series,Gaming,Intel,Core i5,14,Dedicated,AMD Radeon RX 6500M,4,32,512,14,Standard,120,No,60,36530000
Vostro 7728,Vostro,Business,AMD,Ryzen 3,6000,Dedicated,AMD Radeon RX 7600S,8,8,512,15.6,Standard,120,No,54,24270000
Vostro 3639,Vostro,Business,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,16,512,14,IPS,60,No,54,16970000
Inspiron 7406,Inspiron,Consumer,Intel,Core i3,14,Dedicated,NVIDIA RTX 3050,6,8,256,14,IPS,60,Yes,54,20350000
Vostro 5899,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,16,256,14,IPS,60,No,54,15360000
Latitude 3031,Latitude,Business/Ultrabook,Intel,Core i5,14,Integrated,Intel Iris Xe,0,32,512,14,Standard,60,No,41,31020000
Inspiron 7904,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,15.6,IPS,60,No,54,15390000
Inspiron 3367,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,256,14,Standard,60,No,41,14930000
Inspiron 7984,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,60,No,54,12890000
Vostro 7246,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,90,No,41,18450000
Inspiron 5451,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,32,256,15.6,Standard,60,No,41,15920000
Inspiron 5722,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,512,13.3,IPS,90,No,41,14800000
Inspiron 5903,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,512,14,IPS,60,No,54,15940000
Inspiron 5101,Inspiron,Consumer,AMD,Ryzen 3,5000,Dedicated,NVIDIA RTX 4060,8,16,512,15.6,IPS,60,No,54,22080000
XPS 1415,XPS,Ultrabook/Premium,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,512,14,IPS,60,No,60,36350000
Vostro 5150,Vostro,Business,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,16,512,16,OLED,60,No,54,18860000
Latitude 9074,Latitude,Business/Ultrabook,Intel,Core Ultra 7,Ultra,Integrated,Intel Arc Graphics (Integrated),0,32,512,14,Standard,60,No,64,37120000
Vostro 5549,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,60,17870000
Vostro 7371,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,256,14,Standard,60,No,41,12770000
Inspiron 3858,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,14,IPS,60,No,54,17140000
Latitude 5010,Latitude,Business/Ultrabook,Intel,Core Ultra 5,Ultra,Dedicated,NVIDIA RTX 3050,6,16,512,14,Standard,60,No,70,36690000
Inspiron 3242,Inspiron,Consumer,Intel,Core i3,12,Dedicated,NVIDIA RTX 3050,6,8,512,15.6,Standard,60,No,41,18610000
Inspiron 3753,Inspiron,Consumer,Intel,Core i3,12,Dedicated,NVIDIA RTX 3060,6,16,512,14,IPS,60,Yes,60,22780000
Inspiron 3724,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,120,No,54,14010000
Vostro 7403,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,17.3,Standard,60,No,41,18140000
Inspiron 7714,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,Standard,120,No,54,14960000
Vostro 5292,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,14,IPS,60,No,54,15250000
Inspiron 3200,Inspiron,Consumer,AMD,Ryzen 7,6000,Dedicated,NVIDIA RTX 3060,6,8,512,15.6,Standard,60,No,41,22270000
Inspiron 7695,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,32,512,15.6,Standard,60,No,41,18060000
Inspiron 3511,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,512,16,Standard,60,No,41,15180000
Inspiron 7590,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,1000,15.6,Standard,60,No,54,16980000
Inspiron 7169,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,15.6,IPS,60,No,70,16740000
Inspiron 3847,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,54,14940000
Latitude 7043,Latitude,Business/Ultrabook,Intel,Core i7,14,Integrated,Intel Iris Xe,0,16,512,15.6,Standard,60,Yes,64,32290000
Vostro 7501,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,14,IPS,60,No,41,20160000
Inspiron 5447,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,32,512,15.6,IPS,60,No,41,22310000
Inspiron 5766,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,17.3,Standard,60,No,60,18120000
Vostro 7112,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,512,13.3,IPS,60,No,54,18780000
Latitude 5028,Latitude,Business/Ultrabook,Intel,Core i7,12,Integrated,Intel Iris Xe,0,32,1000,13.3,IPS,60,Yes,54,33600000
Latitude 5071,Latitude,Business/Ultrabook,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,512,13.3,Standard,60,No,64,28740000
Vostro 7308,Vostro,Business,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,256,15.6,Standard,60,No,54,15480000
Inspiron 5993,Inspiron,Consumer,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,8,1000,14,Standard,60,No,54,16520000
Vostro 7268,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,1000,14,Standard,60,No,54,16080000
Vostro 5272,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,32,256,14,Standard,60,No,41,20150000
Inspiron 5712,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,54,15240000
Vostro 7576,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,512,14,Standard,60,No,41,20620000
G15 1576,G Series,Gaming,Intel,Core Ultra 7,Ultra,Dedicated,AMD Radeon RX 6500M,4,32,2000,14,IPS,90,No,54,40730000
Inspiron 3265,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,17.3,Standard,60,Yes,41,14010000
Vostro 7119,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,17.3,IPS,60,No,41,20230000
Vostro 5854,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,15.6,IPS,60,No,41,20110000
G15 7306,G Series,Gaming,AMD,Ryzen 5,7000,Dedicated,NVIDIA RTX 3050,4,8,512,15.6,Standard,120,No,64,34620000
Inspiron 5736,Inspiron,Consumer,Intel,Core i3,14,Dedicated,AMD Radeon RX 6500M,4,16,512,15.6,Standard,60,No,41,18900000
Inspiron 7229,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,256,14,Standard,60,No,54,12520000
Vostro 7813,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,512,15.6,Standard,60,No,41,14850000
G15 3763,G Series,Gaming,AMD,Ryzen 7,6000,Integrated,AMD Radeon Graphics,0,16,512,14,IPS,165,No,60,34090000
Latitude 7011,Latitude,Business/Ultrabook,Intel,Core Ultra 7,Ultra,Integrated,Intel Iris Xe,0,16,1000,14,Standard,60,Yes,60,34120000
Vostro 5189,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,15.6,Standard,60,No,41,16990000
Vostro 3215,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,14,Standard,90,No,41,14580000
Inspiron 5114,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,15.6,IPS,60,No,41,12590000
Inspiron 5302,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,14,IPS,120,No,54,16440000
Inspiron 3220,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,60,13260000
Vostro 5697,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,256,15.6,IPS,60,No,41,19560000
Inspiron 7976,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,14,Standard,60,No,41,12440000
Inspiron 7518,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,13.3,IPS,60,No,41,16370000
Inspiron 5459,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,60,16830000
Latitude 3033,Latitude,Business/Ultrabook,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,16,1000,14,Standard,60,Yes,70,27600000
Inspiron 3474,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,256,15.6,IPS,60,No,70,14330000
Inspiron 5749,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,15.6,IPS,60,Yes,41,18940000
Inspiron 5629,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,14,IPS,60,No,54,17710000
Inspiron 3234,Inspiron,Consumer,AMD,Ryzen 5,7000,Dedicated,NVIDIA MX550,2,8,256,15.6,Standard,60,No,54,17830000
G15 2656,G Series,Gaming,AMD,Ryzen 7,6000,Dedicated,AMD Radeon RX 6500M,4,32,2000,14,Standard,120,No,60,39600000
Vostro 3437,Vostro,Business,AMD,Ryzen 3,7000,Dedicated,AMD Radeon RX 7600S,8,8,256,15.6,Standard,60,No,41,22340000
G15 6151,G Series,Gaming,AMD,Ryzen 5,5000,Dedicated,NVIDIA RTX 3050,4,32,512,14,Standard,144,No,70,37200000
Latitude 7069,Latitude,Business/Ultrabook,Intel,Core i7,14,Integrated,Intel Iris Xe,0,32,256,14,Standard,120,No,54,31010000
Inspiron 5247,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,14,IPS,120,No,60,17260000
Vostro 7242,Vostro,Business,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,8,256,13.3,Standard,60,No,41,14950000
Vostro 7845,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,512,14,Standard,60,No,41,14910000
Vostro 5584,Vostro,Business,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,Yes,60,13290000
G15 2386,G Series,Gaming,AMD,Ryzen 5,6000,Dedicated,AMD Radeon RX 6500M,4,16,1000,15.6,IPS,90,Yes,60,32230000
Inspiron 5764,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,256,14,IPS,90,No,54,18290000
Inspiron 7841,Inspiron,Consumer,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,16,512,14,Standard,60,No,54,13570000
Vostro 3103,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,120,Yes,80,18170000
G15 5911,G Series,Gaming,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,32,512,15.6,Standard,144,No,60,32590000
Inspiron 3366,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,16,Standard,60,No,54,16840000
Vostro 7834,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,256,14,IPS,120,No,54,18710000
Inspiron 3745,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,54,16870000
Inspiron 5345,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,14,Standard,60,No,41,16780000
Inspiron 3958,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,Standard,60,No,41,13150000
Inspiron 7758,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,15.6,IPS,60,No,41,12290000
Vostro 7309,Vostro,Business,AMD,Ryzen 7,7000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,54,20880000
Vostro 7988,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,14,Standard,60,No,41,18660000
Vostro 7590,Vostro,Business,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,16,1000,14,Standard,60,No,80,17520000
G15 2702,G Series,Gaming,AMD,Ryzen 5,5000,Dedicated,NVIDIA RTX 4050,6,16,512,15.6,Standard,144,No,60,34180000
Inspiron 7792,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,13.3,IPS,60,No,54,14020000
Inspiron 3268,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,32,512,14,Standard,60,No,54,17640000
Latitude 3010,Latitude,Business/Ultrabook,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,32,512,17.3,Standard,60,No,64,29060000
Inspiron 3363,Inspiron,Consumer,Intel,Core i5,12,Dedicated,NVIDIA MX550,2,16,512,15.6,IPS,60,Yes,54,19300000
Inspiron 5917,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,256,14,Standard,60,No,80,14300000
Inspiron 3256,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,1000,15.6,Standard,60,No,41,15440000
Vostro 5860,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,54,19270000
Vostro 5961,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,512,14,Standard,90,No,41,17690000
Latitude 7042,Latitude,Business/Ultrabook,Intel,Core i7,14,Integrated,Intel Iris Xe,0,16,256,15.6,IPS,120,No,60,31790000
Inspiron 5450,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,32,512,14,Standard,60,No,60,20140000
Inspiron 5320,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,512,15.6,IPS,60,No,60,14790000
Vostro 5599,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,17.3,Standard,60,No,60,14760000
G15 7324,G Series,Gaming,Intel,Core i5,14,Dedicated,NVIDIA RTX 3060,6,16,1000,14,Standard,120,No,54,37880000
Inspiron 3502,Inspiron,Consumer,Intel,Core i7,14,Integrated,Intel Iris Xe,0,16,256,13.3,IPS,60,No,41,22100000
Inspiron 5207,Inspiron,Consumer,AMD,Ryzen 3,6000,Dedicated,NVIDIA RTX 3060,6,16,256,15.6,OLED,165,No,54,24010000
Latitude 9026,Latitude,Business/Ultrabook,Intel,Core i7,13,Integrated,Intel Iris Xe,0,32,1000,15.6,Standard,60,No,54,34340000
Vostro 7506,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,256,15.6,IPS,90,No,41,16940000
Inspiron 3532,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,54,12710000
Vostro 3278,Vostro,Business,AMD,Ryzen 3,6000,Dedicated,NVIDIA RTX 3050,6,8,512,15.6,IPS,90,No,54,19990000
Inspiron 5705,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,1000,17.3,Standard,60,No,41,14630000
Latitude 3010,Latitude,Business/Ultrabook,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,16,1000,14,Standard,60,No,60,27610000
XPS 1415,XPS,Ultrabook/Premium,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,32,512,14,IPS,60,No,60,35740000
Vostro 7370,Vostro,Business,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,14,Standard,60,No,41,19730000
Inspiron 3114,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,IPS,60,No,41,17760000
Latitude 9032,Latitude,Business/Ultrabook,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,16,512,14,Standard,60,No,60,27780000
Vostro 3516,Vostro,Business,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,256,14,IPS,60,No,64,14110000
Inspiron 7868,Inspiron,Consumer,AMD,Ryzen 7,7000,Dedicated,NVIDIA RTX 3050,4,8,256,14,Standard,60,No,54,24390000
Inspiron 7968,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,Standard,60,No,60,14440000
Vostro 7106,Vostro,Business,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,512,14,IPS,60,No,54,15780000
Vostro 7829,Vostro,Business,Intel,Core Ultra 5,Ultra,Integrated,Intel Iris Xe,0,32,256,15.6,Standard,60,No,54,23720000
XPS 1618,XPS,Ultrabook/Premium,Intel,Core i5,14,Dedicated,NVIDIA RTX 4050,6,32,512,16,OLED,60,No,41,46710000
Inspiron 5300,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,512,14,Standard,60,Yes,54,15590000
Inspiron 5406,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,512,15.6,IPS,90,No,41,16370000
Inspiron 7181,Inspiron,Consumer,AMD,Ryzen 5,7000,Dedicated,NVIDIA MX550,2,8,512,14,Standard,60,No,54,19790000
Inspiron 7548,Inspiron,Consumer,AMD,Ryzen 5,5000,Dedicated,AMD Radeon RX 6500M,4,16,256,15.6,IPS,60,No,54,18690000
Inspiron 7705,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,120,No,41,15980000
Inspiron 3141,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,41,14130000
Inspiron 5610,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,2000,14,Standard,60,Yes,54,17100000
Vostro 3888,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,15.6,Standard,60,No,54,18010000
Vostro 5560,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,256,14,IPS,165,No,60,16070000
Inspiron 3304,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,54,17390000
Inspiron 5394,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,14,IPS,60,No,41,13260000
Vostro 7366,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,16,256,15.6,IPS,60,No,41,15190000
G15 1961,G Series,Gaming,Intel,Core i5,13,Dedicated,NVIDIA RTX 3050,6,16,512,14,IPS,144,No,60,33870000
Inspiron 3384,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,17.3,IPS,60,No,41,14340000
Inspiron 3509,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,32,256,14,Standard,60,No,54,21060000
Vostro 7520,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,32,256,17.3,IPS,90,No,41,22070000
Inspiron 7574,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,14,IPS,60,No,54,18060000
XPS 1569,XPS,Ultrabook/Premium,Intel,Core i5,13,Dedicated,AMD Radeon RX 7600S,8,16,1000,15.6,OLED,60,No,60,46330000
Inspiron 3972,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,512,14,Standard,60,No,60,17100000
Inspiron 3275,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,90,No,64,16810000
Inspiron 7154,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,512,14,IPS,60,No,54,17930000
Inspiron 3702,Inspiron,Consumer,Intel,Core i3,13,Dedicated,NVIDIA MX550,2,16,256,14,IPS,60,No,60,17190000
Vostro 3589,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,IPS,60,No,54,20440000
Inspiron 3652,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,Standard,120,No,60,18450000
Inspiron 5292,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,54,16280000
Vostro 5960,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,14,IPS,60,No,54,16860000
Inspiron 5363,Inspiron,Consumer,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,16,256,14,IPS,60,No,54,16160000
Inspiron 3662,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,15.6,Standard,60,No,60,14170000
Vostro 3898,Vostro,Business,AMD,Ryzen 5,6000,Dedicated,AMD Radeon RX 6500M,4,8,256,14,Standard,60,No,54,19190000
Inspiron 5979,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,512,14,Standard,60,No,41,13890000
Inspiron 7623,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,90,No,54,15100000
Inspiron 3683,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,IPS,60,No,54,17480000
Inspiron 3732,Inspiron,Consumer,AMD,Ryzen 5,6000,Dedicated,NVIDIA MX550,2,16,512,14,Standard,60,No,54,18470000
Inspiron 3317,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,15.6,Standard,90,No,54,13970000
Inspiron 7650,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,15.6,Standard,60,Yes,54,14480000
Inspiron 5412,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,15.6,IPS,60,No,54,12410000
Inspiron 7211,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,Standard,60,No,54,16910000
Vostro 7960,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,60,No,60,17950000
Inspiron 3351,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,512,14,IPS,60,No,54,19400000
Latitude 5075,Latitude,Business/Ultrabook,Intel,Core i7,12,Integrated,Intel Iris Xe,0,16,2000,14,Standard,60,No,60,34680000
Vostro 7181,Vostro,Business,AMD,Ryzen 5,7000,Dedicated,NVIDIA RTX 4050,6,8,512,13.3,Standard,60,Yes,41,24060000
Vostro 5304,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,16,IPS,165,No,54,16920000
Alienware m16 7276,Alienware,Gaming,Intel,Core i7,13,Dedicated,NVIDIA RTX 4060,8,16,256,15.6,OLED,90,No,64,60000000
Inspiron 3957,Inspiron,Consumer,AMD,Ryzen 3,6000,Integrated,AMD Radeon Graphics,0,8,512,15.6,IPS,60,No,41,14530000
Inspiron 7245,Inspiron,Consumer,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,60,No,54,11960000
Latitude 5019,Latitude,Business/Ultrabook,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,14,IPS,60,Yes,54,27650000
Vostro 5338,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,256,15.6,IPS,60,No,54,17630000
Inspiron 7186,Inspiron,Consumer,AMD,Ryzen 5,6000,Dedicated,NVIDIA MX550,2,8,256,14,IPS,60,Yes,54,17900000
Inspiron 5520,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,14,IPS,60,No,41,18860000
Inspiron 5641,Inspiron,Consumer,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,256,14,Standard,60,No,41,13380000
XPS 1451,XPS,Ultrabook/Premium,AMD,Ryzen 7,7000,Integrated,AMD Radeon Graphics,0,32,512,14,OLED,60,No,64,41860000
Vostro 5834,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,IPS,60,No,41,14350000
Inspiron 5847,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,60,No,54,16470000
Vostro 3101,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,14,Standard,120,No,54,16880000
Inspiron 5796,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,13.3,Standard,60,No,41,18740000
Inspiron 7873,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,13.3,IPS,60,No,64,18050000
Inspiron 3919,Inspiron,Consumer,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,16,512,15.6,Standard,60,No,54,19240000
Vostro 3249,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,1000,15.6,Standard,60,No,54,16470000
Inspiron 7475,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,14,Standard,60,No,54,17050000
Vostro 5956,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,256,13.3,Standard,60,No,54,15390000
Inspiron 7588,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,256,17.3,IPS,60,No,54,13390000
Vostro 3569,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,256,14,Standard,60,No,41,18280000
G15 1311,G Series,Gaming,AMD,Ryzen 5,7000,Dedicated,NVIDIA RTX 3050,6,32,512,17.3,IPS,144,No,41,40500000
Vostro 3664,Vostro,Business,Intel,Core i3,13,Integrated,Intel UHD Graphics,0,8,1000,14,Standard,60,No,54,15870000
Vostro 7272,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,512,15.6,Standard,60,No,41,19080000
Inspiron 5805,Inspiron,Consumer,AMD,Ryzen 5,5000,Integrated,AMD Radeon Graphics,0,16,1000,14,IPS,60,No,54,18400000
Inspiron 5877,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,16,256,14,Standard,60,No,41,17720000
